"Company Name","Primary Phone","Email","Website","Primary Representative","Physical Address 1","Physical Address 2","Physical City","Physical State","Physical Zip","Mailing Address 1","Mailing Address 2","Mailing City","Mailing State","Mailing Zip","Membership Status","Join Date","Membership Type","Renewal Month","Billing Contact","Annual Fees and Dues Amount"
"Inviah, Inc.","(833) 346-8424","natallia.panysh@inviacare.com","http://inviahcare.com","Natallia Panysh","3818 Grand View Ct","","St Charles","IL","60175","3818 Grand View Ct","","St Charles","IL","60175","Active","4/3/2026","Silver","April","Natallia Panysh","500.00"
"Wilmette Painters LLC","(708) 724-6855","tjot847@gmail.com","","John Maher","220 Margate Ct","","Lake Bluff","IL","60044","220 Margate Ct","","Lake Bluff","IL","60044","Active","4/3/2026","","April","John Maher","300.00"
"Lift Northshore Kenilworth ","(847) 772-0973","chad@lift-chicago.com","","Chad  Driscoll","554 Green Bay Rd","","Kenilworth","IL","60043","554 Green Bay Rd","","Kenilworth","IL","60043","Active","5/12/2026","Silver","April","Chad  Driscoll","500.00"
"Edward Jones Investments","(773) 777-7727","andrew.gardner@edwardjones.com","","Andrew Gardner, CFP®","5750 Old Orchard Road","Suite 520","Skokie","IL","60077","1234 Isabella Street","","Wilmette","IL","60091","Active","5/12/2026","Basic","April","Andrew Gardner, CFP®","300.00"
"Tell Your Story","(847) 921-3925","grafeedie@tellyourstoryinc.com","http://www.tellyourstoryinc.com","George Rafeedie","1100 Central Avenue","Unit G","Wilmette","IL","60091","1100 Central Avenue","Unit G","Wilmette","IL","60091","Active","5/6/2026","Basic","-not set-","George Rafeedie","0.00"
"Fireside Planning LLC","(773) 263-1185","e@firesideplanning.com","","Edward Olivieri","4915 Estes Ave,","","Skokie","IL","60077","4915 Estes Ave,","","Skokie","IL","60077","Active","5/12/2026","Basic","May","Edward Olivieri","300.00"
"Blue Rose Studio","(847) 913-4137","Bluerosecompany@gmail.com","","Samantha Younis","1153 Wilmette Ave","","Wilmette","IL","60091","1153 Wilmette Ave","","Wilmette","IL","60091","Active","5/27/2026","Basic","May","Samantha Younis","300.00"
"US Storage Centers","(847) 906-2115","","https://www.usstoragecenters.com/storage-units/il/wilmette/3510-wilmette-ave","Helena Ford","3510 Wilmette Ave","","Wilmette","IL","60091","3510 Wilmette Ave","","Wilmette","IL","60091","Active","5/28/2026","","May","Jenna Gardner","300.00"
"Activate Your Impact LLC","(630) 222-5257","sara@activateyourimpact.com","http://www.activateyourimpact.com","Sara  Stone","6441 W Pershing Rd","Unit 206","Stickney","IL","60402","6441 W Pershing Rd","Unit 206","Stickney","IL","60402","Active","6/2/2026","Basic","June","Sara  Stone","450.00"
"ICHI by Torino","(847) 920-5075","info@torinoramen.com","http://www.torinoramen.com","Chikako Eickbush","1162 Wilmette Ave.","","Wilmette","IL","60091","1162 Wilmette Ave.","","Wilmette","IL","60091","Active","","Silver","June","Chikako Eickbush","0.00"
"ReSource Wellness","(773) 991-4357","michellebobier@me.com","http://www.resourcewellnessllc.com","Michelle Bobier, BCST","809 Ridge Rd","Suite 207","Wilmette","IL","60091","809 Ridge Rd","Suite 207","Wilmette","IL","60091","Active","6/10/2026","Silver","June","Michelle Bobier, BCST","0.00"
"Crown Dental Club","(224) 724-8600","dr.scott@crowndentalclub.com","http://crowndentalclub.com","Scott Drucker","5215 Old Orchard Road","Suite 200","Skokie","IL","60077","5215 Old Orchard Road","Suite 200","Skokie","IL","60077","Active","6/15/2026","Silver","June","Scott Drucker","500.00"
"The Mette","(847) 728-0556","","","Jason Sander","1165 Wilmette Ave","","Wilmette","IL","60091-2603","1165 Wilmette Ave","","Wilmette","IL","60091-2603","Active","6/17/2026","","June","Jason Sander","300.00"
"theCoderSchool Glenview","(847) 812-7500","glenview@thecoderschool.com","","Calvin Lam","1039 Waukegan Road","","Glenview","IL","60025","1039 Waukegan Road","","Glenview","IL","60025","Active","6/17/2026","Basic","June","","0.00"
"Polkoff Law PLLC","(847) 242-1121","mpolkoff@polkofflaw.com","https://polkofflaw.com/","Michael Polkoff","33 N. Dearborn St., Suite 1000","","Chicago","IL","60602","2740 Lincoln Ln","","Wilmette","IL","60091","Active","6/22/2026","Silver","June","Michael Polkoff","500.00"
"WNG Chamber of Commerce","(847) 446-4451","director@wngchamber.com","","Shari Pontillo","841 Spruce Street","Suite 204","Winnetka","IL","60093","841 Spruce Street","Suite 204","Winnetka","IL","60093","Active","6/24/2026","Chamber of Commerce","June","","0.00"
"Wilmette Bowling Center","(847) 251-0705","","","Jeffrey Strange","1903 Schiller","","wilmette","IL","60091","717 RIdge","1a","wilmette","IL","60091","Active","6/25/2026","","June","Jeffrey Strange","300.00"
"Crosstown Baseball Academy","(847) 347-5715","","","Charlie Tilson","2213 Beechwood Ave","","Wilmette","IL","60091","2213 Beechwood Ave","","Wilmette","IL","60091","Active","6/29/2026","","June","Charlie Tilson","300.00"
"Interactive Speech Associates, Inc","(312) 961-1902","ConnieOMTChicago@gmail.com","http://www.interactive-speech.com","Connie Izquierdo","1131 Central Ave,","#9","Wilmette","IL","60091","1131 Central Ave,","#9","Wilmette","IL","60091","Active","","Basic","July","Connie Izquierdo","300.00"
"the reform method ","(407) 492-2172","","","Meg Moore","332 ridge rd ","","Wilmette","IL","60091","332 ridge rd ","","Wilmette","IL","60091","Active","7/8/2026","","July","Meg Moore","500.00"
"Village Follies","(773) 294-1033","bill.springer@wrbsprincipal.com","http://www.wrbsprincipal.com","Bill Springer","","","Wilmette","IL","60091","1140 Elmwood Ave","","Wilmette","IL","60091","Active","7/25/2026","Not-For-Profit","July","","0.00"
"WRBS Principal LLC","(773) 294-1033","bill.springer@wrbsprincipal.com","http://www.wrbsprincipal.com","Bill Springer","1140 Elmwood Ave.","","Wilmette","IL","60091","1140 Elmwood Ave.","","Wilmette","IL","60091","Active","7/25/2026","","July","","0.00"
